What is your opinion for Online Learning Implementation during COVID-19?,Subjectivity,Polarity,Sentiment
improve technical skill and flexible where customer can participate in class from anywhere long  have internet connection,0.25,-0.025,Negative
add feature like have topic of module to let student search for video easily,0.8333333333333334,0.43333333333333335,Positive
more effective to learn,0.65,0.55,Positive
good make flexible and not waste time in class,0.30000000000000004,0.39999999999999997,Positive
difficult for people who live at different time zone,0.7000000000000001,-0.12121212121212122,Negative
still able to learn,0.625,0.5,Positive
not bad but lack of interaction between lecturer and student make lecturer unable to know if student really understand class or not,0.4555555555555555,0.016666666666666646,Positive
have friendly hour to cater for all time zone,0.5,0.375,Positive
this have own pro and con save travel time but at cost of socialisation well to be on campus than sit on laptop for hour straight due to class have bad impact on health too especially eye and back,0.5736111111111111,-0.004166666666666634,Negative
not effective face to face class,0.8,-0.3,Negative
good for now hope lecturer can improve  connection,0.6000000000000001,0.7,Positive
less interaction with lecturer,0.06666666666666667,-0.16666666666666666,Negative
not good normal class,0.625,-0.09999999999999999,Negative
base on experience and situation can say that be pretty difficult to consistently attend class and focus during class but in opinion that online learning implementation wise move for short period of time but should not be permanent thing at same time student should receive some sort of rebate for  fee class be no longer hold physically during pandemic period,0.5897321428571429,-0.012500000000000011,Negative
student hard to fix problem  face by ask teacher online,0.5416666666666666,-0.2916666666666667,Negative
troublesome but help finish course win win,0.4,0.8,Positive
not bad new concept for both student and lecturer both side be still try to adapt to this method learn and teach with use of microsoft team by communication between lecturer and student very convenient,0.47373737373737373,0.22878787878787876,Positive
believe that online learning have up and down but focus on positive side would say that if learn session record for online learning then student will have opportunity to rewatch session many time possible which can definitely help  to further understand topic or module which  be currently study,0.5334776334776336,0.08167388167388166,Positive
somwhow good session could be record to help with difficulty in understand material in class,0.6000000000000001,0.7,Positive
could have be amazing experience if university have ensure that lecturer have stable connection and be able to navigate easily with process,0.7861111111111111,0.5111111111111112,Positive
quite new experience good to implement online learning during covid because progress will not be affect and there video to rewatch again if  do not understand some of topic,0.5272727272727273,0.41818181818181815,Positive
personally love online learn much  can rewatch recording video after class and  can do anything  want to do during spare time  can attend class anywhere,0.4,0.35,Positive
good enough for now more interactivity between student and teacher would be good though,0.55,0.475,Positive
little troublesome,0.5,-0.1875,Negative
sufficient for adapt to situation for now although can not say satisfied with tuition fee still be same amount before there clearly have be significant change in method of teaching and evaluation well overall delivery of course,0.4766666666666667,0.195,Positive
futuristic learning method before pandemic occur however sudden change from physical to online class really hard to adapt in understand subject,0.37946428571428564,-0.11458333333333334,Negative
online learn good alternative in term of learn method all class be record and can be view again if anything be miss however there be also more distraction and external factor which could disrupt online learning that would not be issue for face to face class,0.4000000000000001,0.39999999999999997,Positive
awesome since take class on bed without take smuggling and stinky bus winking face with tongue,1.0,1.0,Positive
fresh thing for everyone and can be improve,0.5,0.3,Positive
good thing since in digital age but still do not learn best do remotely,0.275,0.39999999999999997,Positive
stay strong,0.7333333333333333,0.4333333333333333,Positive
can be great give that more user friendly than mircrosoft team,0.5833333333333334,0.5583333333333333,Positive
great for some module while other be not,0.5625,0.3375,Positive
there be no other choice situation have force all institute to use online platform,0.375,0.0625,Positive
well than face to face learn because  be able to rewatch lecture and  can learn in comfortable environment,0.7125,0.45,Positive
online learning can be make well by make sure that there more available information that can be access,0.5962962962962962,0.4666666666666666,Positive
far fine but still do not feel much compare to face to face,0.5666666666666667,0.23888888888888893,Positive
good substitute for face to face class,0.6000000000000001,0.7,Positive
lack previous interaction in class and learn among peer and team be not right tool to facilitate lecture and lecturer in assist student with difficulty face,0.35119047619047616,-0.15476190476190477,Negative
initially team be not optimize but seem to have some performance improvement now in term of exam lecturer inform  that slight network disconnect packet loss may cause unintended submission of moodle exam working this just devastating if there be to be bandwidth issue,0.3888888888888889,-0.3888888888888889,Negative
honestly prefer offline class since there will be no delay overall online implementation do well but then again different experience than offline class,0.5,0.19999999999999998,Positive
good at least there record video that can be review,0.5,0.19999999999999998,Positive
everything okay except ask question or receive feedback from lecturer since student can t approach lecturer personally only option leave to send message email lecturer be not cope with such flood of query some of  would only take few minute to solve during physical class but day or even week on online mode,0.5404761904761904,0.049999999999999996,Positive
really need some non verbal communication make more comfortable,0.5,0.3666666666666667,Positive
online learn not too bad but certain subject be not easy to learn virtually,0.6011904761904762,-0.2172619047619047,Negative
love online learning implementation easy for to conduct daily class love,0.5083333333333333,0.35833333333333334,Positive
would still prefer physical class compare to online class because can see only few advantage like save time and transportation money but other than that would say utility bill go up force to upgrade wifi package due to slow internet connectivity and also end up into buy new laptop since all family member remotely work from home and  have only laptop leave eventually  have to spend about k for laptop k big money for  to spend during this financial crisis face lot of trouble but still course fee still same and university fail to help  student on bursary issue to conclude student be not really happy on online class thank ,0.3848268398268398,-0.1209090909090909,Negative
too easily distract in kind of situation,0.8666666666666667,0.5166666666666666,Positive
great to practise social distance and weak student could watch record but demotivating when device and connection drag,0.378125,0.08958333333333335,Positive
good to continue have class during,0.6000000000000001,0.7,Positive
too easily distract in kind of situation,0.8666666666666667,0.5166666666666666,Positive
can sometimes be non motivational due to many reason  be stay at home,0.4375,0.1875,Positive
lack of motivation but high convenience,0.5399999999999999,0.16,Positive
online learning be less immersive compare to physical class,0.10476190476190475,-0.08333333333333333,Negative
lecturer should do more preparation lecturer be too busy on  work and neglect student,0.4,0.3,Positive
not bad,0.6666666666666666,0.3499999999999999,Positive
more convenient compare to physical class but con knowledge or experience student can learn few than physical class like group discussion communicate with other or case study on class,0.2521428571428571,0.034999999999999996,Positive
university adapt surprisingly well from lockdown to immediate implementation of online learning feel like online learning can be good alternative for those who be not in malaysia or just lazy to attend physical class,0.5607142857142857,0.2875,Positive
beneficial to all student  can watch class record video with no limit and also convenient to student who have to take long time to travel to campus,0.4,-0.05,Negative
already very helpful for student to learn through this pandemic,0.3,0.2,Positive
great far,0.875,0.45,Positive
need to have more online resource for student to access,0.5,0.5,Positive
quite excellent,1.0,1.0,Positive
could be improve but overall be good personally prefer because save time and money since do not need to drive to campus,0.30000000000000004,0.2333333333333333,Positive
good,0.6000000000000001,0.7,Positive
good internet connectivity,0.6000000000000001,0.7,Positive
healthy and precautious method of continue process of learn in this current pandemic but few key area need to be take into consideration such student device performance  network infrastructure and  capability of embrace online learning,0.5,0.06,Positive
necessary due to covid situation but will prefer face to face learn more study without physical presence of friend and lecturer bit demotivating and hard,0.5119047619047619,0.016666666666666663,Positive
really stressful and receive education from online learn not effective physical learning in class,0.38095238095238093,-0.033333333333333326,Negative
good experience for online learn one thing that can of implement option for student to automatically download lesson video to  local device since microsoft not be able to store lesson video for long,0.40625,0.2875,Positive
already very helpful for student to learn through this pandemic,0.3,0.2,Positive
